JerseyNo,Date,TRB,AST,STL,PTS
2,2018-03-29,1,0,0,8
2,2018-03-31,1,0,0,0
2,2018-04-03,2,1,1,9
2,2018-04-04,3,0,1,11
2,2018-04-06,4,0,2,10
2,2018-04-09,0,1,1,3
2,2018-04-11,3,0,1,32
16,2017-10-18,4,8,1,11
16,2017-10-21,4,8,0,14
16,2017-10-23,7,5,3,8
16,2017-10-25,9,4,1,21
16,2017-10-28,5,2,1,16
16,2017-10-30,7,1,1,2
16,2017-11-01,0,0,0,0
16,2017-11-03,10,4,2,15
16,2017-11-05,2,5,0,14
16,2017-11-06,9,6,3,21
16,2017-11-08,7,5,2,15
16,2017-11-10,3,2,2,2
16,2017-11-12,3,2,1,10
16,2017-11-15,2,2,0,5
16,2017-11-17,5,4,0,20
16,2017-11-19,4,6,0,10
16,2017-11-22,2,4,0,4
16,2017-11-24,6,8,0,5
16,2017-11-26,7,6,2,15
16,2017-11-28,3,3,1,14
16,2017-11-29,4,1,1,9
16,2017-12-01,6,4,1,8
16,2017-12-03,5,0,1,5
16,2017-12-06,3,6,0,9
16,2017-12-09,7,3,1,17
16,2017-12-11,3,3,2,11
16,2017-12-13,10,8,0,10
16,2017-12-15,5,5,2,11
16,2017-12-16,3,1,0,3
16,2017-12-18,0,0,0,0
16,2017-12-20,0,0,0,0
16,2017-12-22,0,0,0,0
16,2017-12-23,1,0,1,7
16,2017-12-26,0,0,0,0
16,2017-12-29,0,0,0,0
16,2017-12-30,0,0,0,0
16,2018-01-03,4,1,1,16
16,2018-01-05,4,6,1,4
16,2018-01-07,11,3,0,13
16,2018-01-09,3,2,0,4
16,2018-01-10,0,0,0,0
16,2018-01-14,4,8,2,4
16,2018-01-15,2,3,1,8
16,2018-01-17,7,6,0,9
16,2018-01-19,4,2,1,8
16,2018-01-20,6,7,0,22
16,2018-01-22,3,4,0,10
16,2018-01-25,8,4,1,4
16,2018-01-27,10,3,1,10
16,2018-01-29,0,6,1,6
16,2018-01-31,4,1,1,8
16,2018-02-02,2,3,0,5
16,2018-02-03,5,7,2,18
16,2018-02-05,3,1,1,6
16,2018-02-07,2,3,0,9
16,2018-02-09,4,2,1,9
16,2018-02-13,7,0,0,16
16,2018-02-14,4,5,1,22
16,2018-02-23,4,4,2,12
16,2018-02-24,5,2,2,8
16,2018-02-27,2,0,0,0
16,2018-03-01,3,5,0,6
16,2018-03-03,2,1,3,14
16,2018-03-05,2,4,0,6
